Title,Genres,Actors,Directors,Synopsis,Rating
From Good to the Hood,Comedy,"Quim Gutiérrez, Sara Sálamo, María de Nati",Mar Olid,"Cheating the tax man was just too tempting for Andrés. Besides, what are the chances of him getting caught? Well, as it turns out, pretty high! And that’s exactly what happens when a couple of tax inspectors turn up at his company to inform him that he owes the IRS a lot of money.",6.0
Una pequeña confusión,Comedy,"Ana de la Reguera, Juanpa Zurita, Vico Escorcia",Ariel Winograd,"Lola and Cuau, a progressive middle-class pair, and Iñigo and Majo, a young conservative, well-heeled duo, turn to artificial insemination as a last resort to have children. In a madcap twist based on actual events, a mix-up at the clinic results in each mom-to-be carrying the other one's baby.",7.409
Final Twist,Horror,"Adrián Labrador, Sara Sanz, Yaiza Hervás",Norberto Ramos del Val,"Monica has a podcast and Alex has a dark secret. Sometimes, meeting up with online friends in real life isn't such a good idea.",5.875
A Whole Life,"Drama, History","Stefan Górski, August Zirner, Andreas Lust",Hans Steinbichler,"When Andreas arrives in the remote valley in the Austrian Alps, he is only about four years old - nobody knows for sure. He grows up to become a skilled farmhand and, as a young man, joins a work crew that builds one of the first mountain railroads, bringing light and noise to the valley along with electricity. He also finds the love of his life in Marie, but their happiness is short-lived. Only many years later, when Andreas embarks on his final journey, she is with him once again. And in amazement Andreas looks back at all the years that lie behind him.",7.0
Minecraft: The Story of Mojang,Documentary,"Markus Persson, Jens Bergensten, Jakob Porser",Paul Owens,"Minecraft: The Story of Mojang is a feature-length documentary that follows the young company over the course of its first year as their profile expanded across the world stage and into the homes of millions of gamers. Featuring insights from industry icons, journalists, tastemakers, and players profoundly impacted by the game, the film serves as a time capsule for one of this generation's most unorthodox success stories.",7.0
Mientras Cupido no está,Comedy,"Dolores Heredia, Vadhir Derbez, Antonia San Juan",Alejandro Aimetta,"Mirtha Del Cañon is the owner of a million-dollar company. Her only son, Bartolo, is a mess, and to straighten him out, she decides to look for a woman for him, to achieve that, she organizes a casting to find the perfect daughter-in-law.",0.0
When Fall Is Coming,"Drama, Thriller, Comedy","Hélène Vincent, Josiane Balasko, Ludivine Sagnier",François Ozon,"Michelle is enjoying a peaceful retirement in a Burgundy village, close to her longtime friend Marie-Claude. When her Parisian daughter Valérie drops off her son Lucas to spend school vacation with his grandma, Michelle, stressed out by her daughter, serves her toxic mushrooms for lunch. Valérie quickly recovers, but forbids her mother from seeing her grandson anymore. Feeling lonely and guilty, Michelle falls into a depression... until Marie-Claude's son gets out of prison.",6.4
Heretic,"Horror, Thriller","Hugh Grant, Sophie Thatcher, Chloe East","Scott Beck, Bryan Woods","Two young missionaries are forced to prove their faith when they knock on the wrong door and are greeted by a diabolical Mr. Reed, becoming ensnared in his deadly game of cat-and-mouse.",7.072
Escape,"Action, Drama","Lee Je-hoon, Koo Kyo-hwan, Hong Xa-bin",Lee Jong-pil,"After completing his required decade of military service and being honored as a hero, a North Korean sergeant makes a sudden shocking attempt to defect to the South, risking life and limb for the chance to finally determine his own destiny.",7.3
Frogman,"Horror, Fantasy","Nathan Tymoshuk, Chelsey Grant, Benny Barrett",Anthony Cousins,"An amateur filmmaker, struggling to turn his passion into a career, returns with friends to Loveland, Ohio, the location of his first, notorious sighting of the Frogman, determined to obtain irrefutable proof that the cryptid legend exists.",5.0
My Fault: London,"Romance, Drama","Asha Banks, Matthew Broome, Eve Macklin","Dani Girdwood, Charlotte Fassler","18-year-old Noah moves from America to London, with her mother who's recently fallen in love with William, a wealthy British businessman. Noah meets William’s son, bad-boy Nick, and soon discovers there is an attraction between them neither can avoid. As Noah spends the summer adjusting to her new life, her devastating past will catch up with her while falling in love for the first time.",7.5
Presence,"Horror, Drama, Thriller","Callina Liang, Lucy Liu, Chris Sullivan",Steven Soderbergh,"A couple, Rebekah and Chris, and their children, Tyler and Chloe, move into a seemingly normal suburban home. When strange occurrences occur, they begin to believe that there is something else in the house with them. The presence is about to disrupt their lives in unimaginable ways.",5.971
